Commodity,Retail Prices (Rs./Kg) - 2015,Retail Prices (Rs./Kg) - 2016,Retail Prices (Rs./Kg) - 2017,Retail Prices (Rs./Kg) - 2018*,Wholesale Prices (Rs./Qtl) - 2015,Wholesale Prices (Rs./Qtl) - 2016,Wholesale Prices (Rs./Qtl) - 2017,Wholesale Prices (Rs./Qtl) - 2018*
Rice,27.5,27.32,29.23,30.09,2467.12,2451.24,2617.92,2691.24
Wheat,22.8,23.57,23.9,23.93,2045.28,2101.9,2126.48,2132.45
Atta (Wheat),24.69,25.16,26.24,26.15,2176.73,2224.71,2305.47,2290.87
Gram Dal,59.6,90.78,87.28,67.45,5482.47,8429.97,7979.34,6040.33
Tur/Arhar Dal,109.63,131.72,84.02,71.76,10346.14,12277.1,7657.02,6511.16
Urad Dal,105.46,136.95,92.35,71.74,9961.16,12796.3,8405.41,6461.43
Moong Dal,102.13,94.55,77.57,73.17,9541.5,8645.2,7006.33,6622.23
Masoor Dal,82.17,82.75,70.32,61.22,7662.11,7589.99,6249.87,5396.32
Groundnut Oil (Packed),121.57,130.99,131,125.95,11441.38,12372.1,12302.1,11834.97
Mustard Oil (Packed),104.42,109.47,106.98,105.83,9679.85,10088.5,9790.95,9726.4
Vanaspati (Packed),74.49,74.4,77.71,79.96,6866.88,6879.08,7122.92,7403.82
Soya Oil (Packed),83.18,82.61,85.21,88.74,7623.07,7629.82,7853.17,8269.17
Sunflower Oil (Packed),94.11,95.11,93.1,95.21,8866.41,8938.99,8665.39,8885.8
Palm Oil (Packed),65.35,68.58,70.37,76.5,6077.85,6425.11,6545.86,7146.96
Potato,16.16,19.28,14.94,17.5,1236.43,1513.61,1094.19,1313.94
Onion,31.9,16.79,22.41,25.42,2645.47,1271.88,1734.69,2003.04
Tomato,26.69,26.01,32.32,20.26,2079.04,2068.35,2549.94,1473.72
Sugar,31.23,38.62,42.63,39.2,2846.33,3599.21,3995.02,3619.5
Gur,40.36,42.02,44.72,43.22,3555.02,3748.58,3988,3817.89
Milk,39.12,39.96,41.58,42.22,3689.45,3698.35,3830.09,3932.71
Tea Loose,205.82,199.02,202.76,208.83,18468.44,17819.3,17994.4,18583.98
Salt Pack (Iodised),14.83,14.98,15.11,15.16,1275.99,1269.96,1264.5,1272.45
