Date,"Index Value",High,Low,"Previous Close"
"01 Jan 15",1.36,0,0,0
"02 Jan 15",3.92,0,0,0
"03 Jan 15",6.44,0,0,0
"04 Jan 15",8.62,0,0,0
"05 Jan 15",8.8,0,0,0
"06 Jan 15",8.32,0,0,0
"07 Jan 15",7.63,0,0,0
"08 Jan 15",6.79,0,0,0
"09 Jan 15",6.14,0,0,0
"10 Jan 15",5.65,0,0,0
"11 Jan 15",5.09,0,0,0
"12 Jan 15",4.33,0,0,0
"13 Jan 15",3.41,0,0,0
"14 Jan 15",3.43,0,0,0
"15 Jan 15",2.85,0,0,0
"16 Jan 15",1.61,0,0,0
"17 Jan 15",0.67,0,0,0
"18 Jan 15",0.01,0,0,0
"19 Jan 15",-0.43,0,0,0
"20 Jan 15",-0.9,0,0,0
"21 Jan 15",-1.3,0,0,0
"22 Jan 15",-0.21,0,0,0
"23 Jan 15",0.76,0,0,0
"24 Jan 15",0.47,0,0,0
"25 Jan 15",0.5,0,0,0
"26 Jan 15",0.64,0,0,0
"27 Jan 15",1.05,0,0,0
"28 Jan 15",0.45,0,0,0
"29 Jan 15",0.35,0,0,0
"30 Jan 15",0.38,0,0,0
"31 Jan 15",0.25,0,0,0
"01 Feb 15",-0.48,0,0,0
"02 Feb 15",-0.44,0,0,0
"03 Feb 15",1.08,0,0,0
"04 Feb 15",1.69,0,0,0
"05 Feb 15",1.01,0,0,0
"06 Feb 15",0.16,0,0,0
"07 Feb 15",-0.66,0,0,0
"08 Feb 15",-0.98,0,0,0
"09 Feb 15",-1.49,0,0,0
"10 Feb 15",-2.56,0,0,0
"11 Feb 15",-3.36,0,0,0
"12 Feb 15",-4.19,0,0,0
"13 Feb 15",-4.51,0,0,0
"14 Feb 15",-5.65,0,0,0
"15 Feb 15",-7.01,0,0,0
"16 Feb 15",-7.86,0,0,0
"17 Feb 15",-7.58,0,0,0
"18 Feb 15",-8.53,0,0,0
"19 Feb 15",-8.47,0,0,0
"20 Feb 15",-7.42,0,0,0
"21 Feb 15",-7.78,0,0,0
"22 Feb 15",-8.17,0,0,0
"23 Feb 15",-8.98,0,0,0
"24 Feb 15",-9.91,0,0,0
"25 Feb 15",-8.87,0,0,0
"26 Feb 15",-8.03,0,0,0
"27 Feb 15",-7.62,0,0,0
"28 Feb 15",-7.94,0,0,0
"01 Mar 15",3.22,0,0,0
"02 Mar 15",14.77,0,0,0
"03 Mar 15",19.05,0,0,0
"04 Mar 15",20.31,0,0,0
"05 Mar 15",21.72,0,0,0
"06 Mar 15",22.29,0,0,0
"07 Mar 15",22.3,0,0,0
"08 Mar 15",22.64,0,0,0
"09 Mar 15",25.14,0,0,0
"10 Mar 15",24.95,0,0,0
"11 Mar 15",23.73,0,0,0
"12 Mar 15",22.53,0,0,0
"13 Mar 15",21.5,0,0,0
"14 Mar 15",21.41,0,0,0
"15 Mar 15",24.58,0,0,0
"16 Mar 15",28.36,0,0,0
"17 Mar 15",29.86,0,0,0
"18 Mar 15",29.14,0,0,0
"19 Mar 15",28.28,0,0,0
"20 Mar 15",27.38,0,0,0
"21 Mar 15",26.13,0,0,0
"22 Mar 15",24.52,0,0,0
"23 Mar 15",23.07,0,0,0
"24 Mar 15",21.94,0,0,0
"25 Mar 15",20.78,0,0,0
