0,1,2,3,4,5,6,7,8,9
1,Barpeta,Bohorihat,Onion,Other,FAQ,1200,1300,1250,01 May 2016
2,Barpeta,Bohorihat,Onion,Other,FAQ,1200,1300,1250,27 Apr 2016
3,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1400,1350,07 May 2016
4,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1400,1350,08 May 2016
5,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1400,1350,09 May 2016
6,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1400,1350,12 May 2016
7,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1400,1350,14 Aug 2016
8,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1400,1350,17 May 2016
9,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1400,1350,19 Aug 2016
10,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1400,1350,22 Aug 2016
11,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1400,1375,16 Aug 2016
12,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1450,1400,11 Aug 2016
13,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1450,1400,17 Aug 2016
14,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1450,1400,23 Aug 2016
15,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1500,1400,03 Jul 2016
16,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1500,1400,04 Jul 2016
17,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1500,1400,05 Jul 2016
18,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1500,1400,06 Aug 2016
19,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1500,1400,09 Aug 2016
20,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1500,1400,10 Aug 2016
21,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1500,1400,21 Jul 2016
22,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1500,1400,22 Apr 2016
23,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1500,1400,23 Jun 2016
24,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1500,1400,24 Jun 2016
25,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1500,1400,26 Jul 2016
26,Barpeta,Bohorihat,Onion,Other,FAQ,1300,1500,1400,28 Jul 2016
