0,1,2,3,4,5,6,7,8,9
1,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,400,1200,1000,16 May 2023
2,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,01 Jun 2023
3,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,02 Jun 2023
4,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,03 Jun 2023
5,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,04 Jun 2023
6,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,14 Jun 2023
7,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,16 Jun 2023
8,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,17 Jun 2023
9,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,17 May 2023
10,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,18 Jun 2023
11,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,18 May 2023
12,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,19 May 2023
13,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,20 Jun 2023
14,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,20 May 2023
15,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,21 May 2023
16,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,22 Jun 2023
17,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,23 Jun 2023
18,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,23 May 2023
19,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,24 Jun 2023
20,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,24 May 2023
21,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,25 May 2023
22,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,26 May 2023
23,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,27 May 2023
24,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,30 May 2023
25,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1200,1000,31 May 2023
26,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1300,1000,25 Jun 2023
27,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1500,1200,01 Aug 2023
28,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1500,1200,02 Aug 2023
29,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1500,1200,03 Aug 2023
30,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1500,1200,04 Aug 2023
31,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1500,1200,05 Aug 2023
32,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1500,1200,20 Jul 2023
33,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1500,1200,27 Jul 2023
34,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1500,1300,21 Jul 2023
35,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,500,1800,1600,11 Aug 2023
36,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1200,900,01 Oct 2022
37,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1200,900,02 Oct 2022
38,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1200,900,04 Oct 2022
39,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1200,900,05 Oct 2022
40,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1200,900,07 May 2023
41,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1200,900,09 May 2023
42,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1200,900,27 Sep 2022
43,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1200,900,28 Sep 2022
44,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1200,900,29 Sep 2022
45,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1200,900,30 Sep 2022
46,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1300,950,15 Apr 2023
47,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1300,950,16 Apr 2023
48,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1400,1000,13 Sep 2022
49,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1400,1000,14 Sep 2022
50,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1400,1000,15 Sep 2022
51,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1500,1200,06 Jun 2023
52,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1500,1200,07 Jun 2023
53,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1500,1300,18 Jul 2023
54,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1600,1200,04 Jul 2023
55,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1600,1200,06 Aug 2023
56,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1600,1200,08 Aug 2023
57,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1600,1200,19 Jul 2023
58,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,600,1600,1500,10 Aug 2023
59,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,650,1300,900,14 Apr 2023
60,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1000,950,28 Apr 2023
61,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,850,19 Apr 2023
62,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,950,10 May 2023
63,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,950,18 Apr 2023
64,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,950,20 Apr 2023
65,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,950,21 Apr 2023
66,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,950,22 Apr 2023
67,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,950,23 Apr 2023
68,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,950,25 Apr 2023
69,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,950,26 Apr 2023
70,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,950,27 Apr 2023
71,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,950,29 Apr 2023
72,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,950,30 Apr 2023
73,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,1000,11 May 2023
74,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,1000,12 May 2023
75,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1200,1000,13 May 2023
76,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1400,1050,11 Apr 2023
77,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1400,1050,12 Apr 2023
78,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1400,1050,13 Apr 2023
79,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1500,1100,02 Dec 2022
80,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1500,1100,03 Dec 2022
81,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1500,1200,29 Jun 2023
82,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1500,1400,11 Jul 2023
83,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1600,1200,13 Jun 2023
84,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1600,1200,30 Jun 2023
85,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1600,1400,28 Jun 2023
86,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1700,1500,06 Jul 2023
87,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1700,1500,07 Jul 2023
88,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1700,1500,12 Jul 2023
89,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1700,1500,13 Jul 2023
90,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1700,1500,14 Jul 2023
91,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1700,1500,15 Jul 2023
92,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1700,1500,16 Jul 2023
93,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1200,1000,02 May 2023
94,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1200,1000,03 May 2023
95,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1200,1000,04 May 2023
96,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1200,1000,05 May 2023
97,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1200,1000,06 May 2023
98,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1300,1050,01 Mar 2023
99,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1300,1050,02 Mar 2023
100,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1300,1050,03 Mar 2023
101,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1300,1050,07 Mar 2023
102,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1300,1050,21 Feb 2023
103,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1300,1050,22 Feb 2023
104,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1300,1050,23 Feb 2023
105,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1300,1050,24 Feb 2023
106,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1300,1050,25 Feb 2023
107,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1300,1050,26 Feb 2023
108,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1400,1100,02 Sep 2022
109,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1400,1100,03 Sep 2022
110,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1400,1100,06 Sep 2022
111,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1400,1200,09 Jun 2023
112,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1400,1200,10 Jun 2023
113,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1500,1150,04 Apr 2023
114,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1500,1150,05 Apr 2023
115,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1500,1150,06 Apr 2023
116,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1500,1150,07 Apr 2023
117,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1500,1150,07 Sep 2022
118,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1500,1150,08 Apr 2023
119,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1500,1150,09 Apr 2023
120,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1500,1150,14 Dec 2022
121,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1500,1150,15 Dec 2022
122,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1500,1150,16 Dec 2022
123,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,800,1500,1150,17 Dec 2022
