0,1,2,3,4,5,6,7,8,9
1,Ambala,Ambala Cantt.,Onion,Other,FAQ,600,900,800,23 Feb 2019
2,Ambala,Ambala Cantt.,Onion,Other,FAQ,700,1000,800,13 Jan 2019
3,Ambala,Ambala Cantt.,Onion,Other,FAQ,700,1000,800,30 Jan 2019
4,Ambala,Ambala Cantt.,Onion,Other,FAQ,800,1100,1000,08 Jan 2019
5,Ambala,Ambala Cantt.,Onion,Other,FAQ,1100,1350,1300,19 Sep 2018
6,Ambala,Ambala Cantt.,Onion,Other,FAQ,1200,1650,1400,15 Aug 2019
7,Ambala,Ambala City,Onion,Onion,FAQ,900,1300,1100,03 Sep 2018
8,Ambala,Ambala City,Onion,Onion,FAQ,952,1238,1050,04 Sep 2018
9,Karnal,Asandh,Onion,Other,FAQ,600,800,750,08 Jun 2019
10,Karnal,Asandh,Onion,Other,FAQ,700,800,750,29 Jun 2019
11,Karnal,Asandh,Onion,Other,FAQ,700,850,800,02 Jul 2019
12,Karnal,Asandh,Onion,Other,FAQ,700,850,800,26 Jun 2019
13,Karnal,Asandh,Onion,Other,FAQ,800,900,850,29 Jan 2019
14,Karnal,Asandh,Onion,Other,FAQ,800,1000,950,10 Jan 2019
15,Karnal,Asandh,Onion,Other,FAQ,800,1000,950,25 Feb 2019
16,Karnal,Asandh,Onion,Other,FAQ,800,1000,950,26 Mar 2019
17,Karnal,Asandh,Onion,Other,FAQ,800,1000,950,28 Apr 2019
18,Karnal,Asandh,Onion,Other,FAQ,850,1000,900,14 Mar 2019
19,Karnal,Asandh,Onion,Other,FAQ,900,1000,950,30 Dec 2018
20,Karnal,Asandh,Onion,Other,FAQ,900,1000,950,31 Mar 2019
21,Karnal,Asandh,Onion,Other,FAQ,900,1050,1000,27 Mar 2019
22,Karnal,Asandh,Onion,Other,FAQ,900,1100,1000,05 May 2019
23,Karnal,Asandh,Onion,Other,FAQ,900,1100,1000,07 Apr 2019
24,Karnal,Asandh,Onion,Other,FAQ,900,1100,1000,22 Feb 2019
25,Karnal,Asandh,Onion,Other,FAQ,1100,1400,1350,29 Sep 2018
26,Karnal,Asandh,Onion,Other,FAQ,1100,1450,1400,15 Aug 2019
27,Karnal,Asandh,Onion,Other,FAQ,1200,1500,1400,17 Oct 2018
28,Karnal,Asandh,Onion,Other,FAQ,1200,1600,1500,26 Nov 2018
29,Karnal,Asandh,Onion,Other,FAQ,1200,1800,1650,28 Aug 2019
30,Karnal,Asandh,Onion,Other,FAQ,1250,1500,1450,14 Aug 2019
31,Karnal,Asandh,Onion,Other,FAQ,1400,1800,1600,06 Nov 2018
32,Karnal,Asandh,Onion,Other,FAQ,1400,1800,1600,20 Oct 2018
33,Karnal,Asandh,Onion,Other,FAQ,1500,1800,1650,30 Oct 2018
34,Karnal,Asandh,Onion,Other,FAQ,1500,2000,1800,05 Nov 2018
35,Kurukshetra,Babain,Onion,Local,FAQ,555,1055,750,06 May 2019
36,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,900,800,11 May 2019
37,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,1000,900,21 Jan 2019
38,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,1100,900,28 Dec 2018
39,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1000,900,19 Mar 2019
40,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1100,1000,16 Apr 2019
41,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1200,1000,18 Dec 2018
42,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1200,1000,24 Apr 2019
43,Faridabad,Ballabhgarh,Onion,Other,FAQ,900,2000,1000,25 May 2019
44,Faridabad,Ballabhgarh,Onion,Other,FAQ,1000,1300,1200,25 Jan 2019
45,Faridabad,Ballabhgarh,Onion,Other,FAQ,1000,1400,1200,11 Jul 2019
46,Faridabad,Ballabhgarh,Onion,Other,FAQ,1000,1400,1200,25 Nov 2018
47,Faridabad,Ballabhgarh,Onion,Other,FAQ,1000,1500,1200,09 Oct 2018
48,Faridabad,Ballabhgarh,Onion,Other,FAQ,1000,1500,1200,29 Jun 2019
49,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1600,1400,16 Nov 2018
50,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1600,1400,17 Sep 2018
51,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1600,1400,19 Nov 2018
52,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1600,1400,31 Oct 2018
53,Faridabad,Ballabhgarh,Onion,Other,FAQ,1400,1600,1500,17 Aug 2019
54,Faridabad,Ballabhgarh,Onion,Other,FAQ,2000,2600,2200,21 Aug 2019
55,Ambala,Barara,Onion,Other,FAQ,700,800,700,27 Mar 2019
56,Ambala,Ambala Cantt.,Onion,Other,FAQ,600,1000,800,12 Feb 2019
57,Ambala,Ambala Cantt.,Onion,Other,FAQ,600,1000,800,13 Feb 2019
58,Ambala,Ambala Cantt.,Onion,Other,FAQ,600,1000,800,20 Jan 2019
59,Ambala,Ambala Cantt.,Onion,Other,FAQ,700,1000,800,23 Jan 2019
60,Ambala,Ambala Cantt.,Onion,Other,FAQ,700,1050,800,29 Dec 2018
61,Ambala,Ambala Cantt.,Onion,Other,FAQ,700,1100,800,04 Jan 2019
62,Ambala,Ambala Cantt.,Onion,Other,FAQ,700,1100,1000,05 Jan 2019
63,Ambala,Ambala Cantt.,Onion,Other,FAQ,800,1050,900,04 Dec 2018
64,Ambala,Ambala Cantt.,Onion,Other,FAQ,800,1100,1000,21 May 2019
65,Ambala,Ambala Cantt.,Onion,Other,FAQ,800,1200,900,14 Oct 2018
66,Ambala,Ambala Cantt.,Onion,Other,FAQ,1000,1300,1200,24 Nov 2018
67,Ambala,Ambala Cantt.,Onion,Other,FAQ,1500,2100,2000,19 Oct 2018
68,Ambala,Ambala City,Onion,Onion,FAQ,1140,1300,1200,01 Sep 2018
69,Karnal,Asandh,Onion,Other,FAQ,600,750,700,18 Jun 2019
70,Karnal,Asandh,Onion,Other,FAQ,600,750,725,03 Jun 2019
71,Karnal,Asandh,Onion,Other,FAQ,600,800,750,23 Jun 2019
72,Karnal,Asandh,Onion,Other,FAQ,800,950,900,15 Jan 2019
73,Karnal,Asandh,Onion,Other,FAQ,800,950,900,21 Jan 2019
74,Karnal,Asandh,Onion,Other,FAQ,800,1000,950,08 Mar 2019
75,Karnal,Asandh,Onion,Other,FAQ,800,1000,950,24 Mar 2019
76,Karnal,Asandh,Onion,Other,FAQ,800,1200,1150,27 Dec 2018
77,Karnal,Asandh,Onion,Other,FAQ,850,1100,950,14 May 2019
78,Karnal,Asandh,Onion,Other,FAQ,850,1100,950,21 Mar 2019
79,Karnal,Asandh,Onion,Other,FAQ,900,1000,950,30 Jul 2019
80,Karnal,Asandh,Onion,Other,FAQ,900,1000,950,31 Dec 2018
81,Karnal,Asandh,Onion,Other,FAQ,900,1100,1000,06 Apr 2019
82,Karnal,Asandh,Onion,Other,FAQ,900,1100,1000,09 Apr 2019
83,Karnal,Asandh,Onion,Other,FAQ,900,1100,1000,25 Apr 2019
84,Karnal,Asandh,Onion,Other,FAQ,900,1100,1000,27 Jul 2019
85,Karnal,Asandh,Onion,Other,FAQ,900,1200,1150,21 Jul 2019
86,Karnal,Asandh,Onion,Other,FAQ,900,1200,1150,22 Jul 2019
87,Karnal,Asandh,Onion,Other,FAQ,1100,1500,1400,23 Jul 2019
88,Karnal,Asandh,Onion,Other,FAQ,1200,1450,1350,08 Oct 2018
89,Karnal,Asandh,Onion,Other,FAQ,1200,1450,1400,30 Sep 2018
90,Karnal,Asandh,Onion,Other,FAQ,1200,1500,1350,16 Oct 2018
91,Karnal,Asandh,Onion,Other,FAQ,1200,1600,1550,23 Aug 2019
92,Karnal,Asandh,Onion,Other,FAQ,1200,1600,1550,24 Aug 2019
93,Karnal,Asandh,Onion,Other,FAQ,1250,1500,1300,15 Sep 2018
94,Karnal,Asandh,Onion,Other,FAQ,1300,1500,1450,23 Sep 2018
95,Karnal,Asandh,Onion,Other,FAQ,1400,1600,1550,02 Sep 2018
96,Karnal,Asandh,Onion,Other,FAQ,1400,1600,1550,04 Sep 2018
97,Karnal,Asandh,Onion,Other,FAQ,1400,1600,1550,16 Nov 2018
98,Karnal,Asandh,Onion,Other,FAQ,1500,2000,1800,29 Oct 2018
99,Jhajar,Bahadurgarh,Onion,Other,FAQ,1450,1550,1500,08 Aug 2019
100,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,900,800,12 Feb 2019
101,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,900,800,13 May 2019
102,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,900,800,20 Apr 2019
103,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,1000,800,19 Apr 2019
104,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,1000,900,27 Dec 2018
105,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1000,900,07 Feb 2019
106,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1000,900,14 Jun 2019
107,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1000,900,20 Jun 2019
108,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1000,900,23 Mar 2019
109,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1000,900,28 May 2019
110,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1200,1000,08 Jan 2019
111,Ambala,Ambala Cantt.,Onion,Other,FAQ,700,1000,800,09 Apr 2019
112,Ambala,Ambala Cantt.,Onion,Other,FAQ,700,1000,800,25 Dec 2018
113,Ambala,Ambala Cantt.,Onion,Other,FAQ,800,1100,1000,18 Dec 2018
114,Ambala,Ambala Cantt.,Onion,Other,FAQ,800,1150,1000,19 Dec 2018
115,Ambala,Ambala Cantt.,Onion,Other,FAQ,800,1200,1000,07 May 2019
116,Ambala,Ambala Cantt.,Onion,Other,FAQ,800,1250,1000,13 Dec 2018
117,Ambala,Ambala Cantt.,Onion,Other,FAQ,1000,1300,1200,21 Nov 2018
118,Ambala,Ambala Cantt.,Onion,Other,FAQ,1300,1650,1500,19 Jul 2019
119,Ambala,Ambala Cantt.,Onion,Other,FAQ,1500,2100,2000,26 Oct 2018
120,Ambala,Ambala Cantt.,Onion,Other,FAQ,1500,2200,1800,15 Nov 2018
121,Karnal,Asandh,Onion,Other,FAQ,600,750,700,02 Jun 2019
122,Karnal,Asandh,Onion,Other,FAQ,600,800,750,24 Jun 2019
123,Karnal,Asandh,Onion,Other,FAQ,700,850,800,28 May 2019
124,Karnal,Asandh,Onion,Other,FAQ,700,900,850,11 Jul 2019
125,Karnal,Asandh,Onion,Other,FAQ,700,900,850,18 Jul 2019
126,Karnal,Asandh,Onion,Other,FAQ,700,1000,950,11 Feb 2019
127,Karnal,Asandh,Onion,Other,FAQ,800,950,900,28 Jan 2019
128,Karnal,Asandh,Onion,Other,FAQ,800,1000,950,02 May 2019
129,Karnal,Asandh,Onion,Other,FAQ,800,1000,950,17 Feb 2019
130,Karnal,Asandh,Onion,Other,FAQ,800,1200,1150,16 Apr 2019
131,Karnal,Asandh,Onion,Other,FAQ,800,1200,1150,17 Apr 2019
132,Karnal,Asandh,Onion,Other,FAQ,850,1050,950,07 Mar 2019
133,Karnal,Asandh,Onion,Other,FAQ,900,1000,950,26 Feb 2019
134,Karnal,Asandh,Onion,Other,FAQ,900,1050,1000,29 Mar 2019
135,Karnal,Asandh,Onion,Other,FAQ,1000,1250,1225,15 Apr 2019
136,Karnal,Asandh,Onion,Other,FAQ,1100,1450,1400,08 Aug 2019
137,Karnal,Asandh,Onion,Other,FAQ,1200,1400,1350,21 Sep 2018
138,Karnal,Asandh,Onion,Other,FAQ,1200,1400,1350,22 Aug 2019
139,Karnal,Asandh,Onion,Other,FAQ,1200,1400,1350,25 Aug 2019
140,Karnal,Asandh,Onion,Other,FAQ,1200,1500,1400,19 Aug 2019
141,Karnal,Asandh,Onion,Other,FAQ,1400,1800,1600,21 Oct 2018
142,Karnal,Asandh,Onion,Other,FAQ,1500,1800,1650,11 Nov 2018
143,Kurukshetra,Babain,Onion,Local,FAQ,600,1323,900,22 May 2019
144,Jhajar,Bahadurgarh,Onion,Other,FAQ,700,700,700,06 Jun 2019
145,Faridabad,Ballabhgarh,Onion,Other,FAQ,600,800,700,03 Apr 2019
146,Faridabad,Ballabhgarh,Onion,Other,FAQ,600,1000,800,02 Apr 2019
147,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,900,800,13 Feb 2019
148,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,900,800,18 May 2019
149,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,1000,800,05 Feb 2019
150,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,1000,800,09 Jun 2019
151,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,1000,800,17 Mar 2019
152,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,1000,900,19 Dec 2018
153,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1000,900,03 Mar 2019
154,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1000,900,04 Apr 2019
155,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1000,900,04 Jun 2019
156,Faridabad,Ballabhgarh,Onion,Other,FAQ,1000,1400,1200,25 Jun 2019
157,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1400,1300,26 Jul 2019
158,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1500,1400,06 Nov 2018
159,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1600,1400,09 Aug 2019
160,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1600,1400,12 Jul 2019
161,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1600,1400,18 Nov 2018
162,Faridabad,Ballabhgarh,Onion,Other,FAQ,1600,2000,1800,17 Jul 2019
163,Panipat,Bapauli,Onion,Other,FAQ,200,200,200,21 Jun 2019
164,Ambala,Barara,Onion,Other,FAQ,700,800,700,26 Mar 2019
165,Ambala,Barara,Onion,Other,FAQ,800,900,800,10 Feb 2019
166,Ambala,Ambala Cantt.,Onion,Other,FAQ,700,900,800,07 Feb 2019
167,Ambala,Ambala Cantt.,Onion,Other,FAQ,700,1000,800,17 Mar 2019
168,Ambala,Ambala Cantt.,Onion,Other,FAQ,800,1000,900,13 Apr 2019
169,Ambala,Ambala Cantt.,Onion,Other,FAQ,800,1100,1000,15 Dec 2018
170,Ambala,Ambala Cantt.,Onion,Other,FAQ,800,1250,1000,09 Dec 2018
171,Ambala,Ambala Cantt.,Onion,Other,FAQ,1000,1300,1200,17 Nov 2018
172,Ambala,Ambala Cantt.,Onion,Other,FAQ,1500,2000,1800,28 Oct 2018
173,Karnal,Asandh,Onion,Other,FAQ,600,750,700,06 Jun 2019
174,Karnal,Asandh,Onion,Other,FAQ,600,750,725,20 Jun 2019
175,Karnal,Asandh,Onion,Other,FAQ,650,800,750,04 Jul 2019
176,Karnal,Asandh,Onion,Other,FAQ,650,850,750,29 May 2019
177,Karnal,Asandh,Onion,Other,FAQ,700,900,850,17 Jul 2019
178,Karnal,Asandh,Onion,Other,FAQ,800,950,900,12 Jan 2019
179,Karnal,Asandh,Onion,Other,FAQ,800,1000,950,05 Mar 2019
180,Karnal,Asandh,Onion,Other,FAQ,850,1000,950,09 Mar 2019
181,Karnal,Asandh,Onion,Other,FAQ,900,1050,950,04 Apr 2019
182,Karnal,Asandh,Onion,Other,FAQ,900,1100,950,20 Dec 2018
183,Karnal,Asandh,Onion,Other,FAQ,900,1100,1000,12 May 2019
184,Karnal,Asandh,Onion,Other,FAQ,900,1100,1000,17 May 2019
185,Karnal,Asandh,Onion,Other,FAQ,900,1100,1000,30 Mar 2019
186,Karnal,Asandh,Onion,Other,FAQ,900,1200,1150,23 Apr 2019
187,Karnal,Asandh,Onion,Other,FAQ,1200,1450,1350,12 Oct 2018
188,Karnal,Asandh,Onion,Other,FAQ,1200,1450,1400,13 Oct 2018
189,Karnal,Asandh,Onion,Other,FAQ,1200,1450,1400,17 Sep 2018
190,Karnal,Asandh,Onion,Other,FAQ,1400,1800,1650,08 Nov 2018
191,Karnal,Asandh,Onion,Other,FAQ,1400,1800,1650,10 Nov 2018
192,Karnal,Asandh,Onion,Other,FAQ,1500,1800,1650,07 Nov 2018
193,Karnal,Asandh,Onion,Other,FAQ,1800,2200,2000,29 Aug 2019
194,Kurukshetra,Babain,Onion,Local,FAQ,603,1251,850,17 May 2019
195,Jhajar,Bahadurgarh,Onion,Other,FAQ,700,800,750,23 May 2019
196,Faridabad,Ballabhgarh,Onion,Onion,FAQ,1000,1400,1200,15 Nov 2018
197,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,900,800,26 May 2019
198,Faridabad,Ballabhgarh,Onion,Other,FAQ,700,1000,800,18 Apr 2019
199,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1000,900,04 Feb 2019
200,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1000,900,21 Mar 2019
201,Faridabad,Ballabhgarh,Onion,Other,FAQ,800,1000,900,29 Mar 2019
202,Faridabad,Ballabhgarh,Onion,Other,FAQ,1000,1200,1100,02 Jul 2019
203,Faridabad,Ballabhgarh,Onion,Other,FAQ,1000,1400,1200,18 Jul 2019
204,Faridabad,Ballabhgarh,Onion,Other,FAQ,1000,1400,1200,29 Apr 2019
205,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1500,1400,05 Aug 2019
206,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1500,1400,18 Sep 2018
207,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1600,1400,02 Sep 2018
208,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1600,1400,04 Sep 2018
209,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1600,1400,23 Nov 2018
210,Faridabad,Ballabhgarh,Onion,Other,FAQ,1200,1600,1400,24 Oct 2018
211,Faridabad,Ballabhgarh,Onion,Other,FAQ,1400,1800,1600,28 Oct 2018
212,Faridabad,Ballabhgarh,Onion,Other,FAQ,1500,1800,1600,11 Aug 2019
213,Faridabad,Ballabhgarh,Onion,Other,FAQ,1800,2000,1900,25 Aug 2019
214,Panipat,Bapauli,Onion,Other,FAQ,210,210,210,20 Jun 2019
215,Ambala,Barara,Onion,Other,FAQ,700,800,700,30 Mar 2019
216,Ambala,Barara,Onion,Other,FAQ,800,900,800,03 Apr 2019
217,Ambala,Barara,Onion,Other,FAQ,900,1000,900,10 Apr 2019
218,Ambala,Barara,Onion,Other,FAQ,1000,1100,1000,07 Jan 2019
219,Ambala,Barara,Onion,Other,FAQ,1100,1200,1100,06 Jun 2019
220,Ambala,Barara,Onion,Other,FAQ,1200,1300,1200,22 Dec 2018
221,Ambala,Barara,Onion,Other,FAQ,800,1000,800,13 Apr 2019
222,Ambala,Barara,Onion,Other,FAQ,1000,1100,1000,11 May 2019
223,Ambala,Barara,Onion,Other,FAQ,1000,1100,1000,16 May 2019
224,Ambala,Barara,Onion,Other,FAQ,1000,1200,1000,03 Jan 2019
225,Ambala,Barara,Onion,Other,FAQ,1100,1300,1100,11 Dec 2018
226,Ambala,Barara,Onion,Other,FAQ,1200,1300,1200,17 Dec 2018
227,Ambala,Barara,Onion,Other,FAQ,1200,1300,1200,19 Nov 2018
228,Ambala,Barara,Onion,Other,FAQ,1200,1300,1200,25 Dec 2018
229,Ambala,Barara,Onion,Other,FAQ,1400,1500,1400,08 Sep 2018
230,Ambala,Barara,Onion,Other,FAQ,1400,1600,1400,07 Sep 2018
231,Ambala,Barara,Onion,Other,FAQ,1500,1600,1500,03 Jul 2019
232,Ambala,Barara,Onion,Other,FAQ,1500,1600,1500,18 Jun 2019
233,Panchkula,Barwala,Onion,Onion,FAQ,800,800,800,04 Mar 2019
234,Panchkula,Barwala,Onion,Onion,FAQ,800,800,800,05 Apr 2019
235,Panchkula,Barwala,Onion,Onion,FAQ,800,800,800,06 Mar 2019
236,Panchkula,Barwala,Onion,Onion,FAQ,800,800,800,07 May 2019
237,Panchkula,Barwala,Onion,Onion,FAQ,800,800,800,20 Mar 2019
238,Panchkula,Barwala,Onion,Onion,FAQ,800,900,850,15 Feb 2019
239,Panchkula,Barwala,Onion,Onion,FAQ,800,900,850,20 May 2019
240,Panchkula,Barwala,Onion,Onion,FAQ,800,1000,900,05 May 2019
241,Panchkula,Barwala,Onion,Onion,FAQ,800,1200,1000,21 Dec 2018
242,Panchkula,Barwala,Onion,Onion,FAQ,900,900,900,01 Jan 2019
243,Panchkula,Barwala,Onion,Onion,FAQ,900,900,900,03 Feb 2019
244,Panchkula,Barwala,Onion,Onion,FAQ,900,900,900,10 Feb 2019
245,Panchkula,Barwala,Onion,Onion,FAQ,900,1000,950,05 Feb 2019
246,Panchkula,Barwala,Onion,Onion,FAQ,1000,1000,1000,04 Jan 2019
247,Panchkula,Barwala,Onion,Onion,FAQ,1000,1000,1000,30 Dec 2018
248,Panchkula,Barwala,Onion,Onion,FAQ,1000,1100,1050,25 Nov 2018
249,Panchkula,Barwala,Onion,Onion,FAQ,1100,1300,1200,04 Dec 2018
250,Panchkula,Barwala,Onion,Onion,FAQ,1200,1200,1200,02 Dec 2018
251,Panchkula,Barwala,Onion,Onion,FAQ,1200,1200,1200,05 Sep 2018
252,Panchkula,Barwala,Onion,Onion,FAQ,1200,1200,1200,10 Jul 2019
253,Panchkula,Barwala,Onion,Onion,FAQ,1200,1200,1200,18 Dec 2018
254,Panchkula,Barwala,Onion,Onion,FAQ,1200,1200,1200,18 Jul 2019
255,Panchkula,Barwala,Onion,Onion,FAQ,1200,1200,1200,22 Sep 2018
256,Panchkula,Barwala,Onion,Onion,FAQ,1200,1200,1200,23 Jun 2019
257,Panchkula,Barwala,Onion,Onion,FAQ,1200,1200,1200,24 Jun 2019
258,Panchkula,Barwala,Onion,Onion,FAQ,1200,1200,1200,24 Sep 2018
259,Panchkula,Barwala,Onion,Onion,FAQ,1500,1500,1500,11 Jul 2019
260,Panchkula,Barwala,Onion,Onion,FAQ,1500,1500,1500,12 Aug 2019
261,Panchkula,Barwala,Onion,Onion,FAQ,1500,1500,1500,15 Aug 2019
262,Panchkula,Barwala,Onion,Onion,FAQ,1500,1500,1500,17 Aug 2019
263,Panchkula,Barwala,Onion,Onion,FAQ,1500,1500,1500,23 Jul 2019
264,Panchkula,Barwala,Onion,Onion,FAQ,1600,1600,1600,22 Oct 2018
265,Hissar,Barwala(Hisar),Onion,Other,FAQ,700,1000,900,24 Apr 2019
266,Hissar,Barwala(Hisar),Onion,Other,FAQ,800,800,800,11 May 2019
267,Hissar,Barwala(Hisar),Onion,Other,FAQ,800,900,900,13 Mar 2019
