0,1,2,3,4,5,6,7,8,9
1,Jammu,Akhnoor,Onion,Other,FAQ,800,900,850,01 Jun 2018
2,Jammu,Akhnoor,Onion,Other,FAQ,900,1100,1000,25 Apr 2018
3,Jammu,Akhnoor,Onion,Other,FAQ,1000,1100,1050,13 Jun 2018
4,Jammu,Akhnoor,Onion,Other,FAQ,1000,1200,1100,02 Jun 2018
5,Jammu,Akhnoor,Onion,Other,FAQ,1000,1200,1100,14 Jun 2018
6,Jammu,Akhnoor,Onion,Other,FAQ,1000,1200,1100,15 Jun 2018
7,Jammu,Akhnoor,Onion,Other,FAQ,1000,1200,1100,15 May 2018
8,Jammu,Akhnoor,Onion,Other,FAQ,1000,1200,1100,16 Apr 2018
9,Jammu,Akhnoor,Onion,Other,FAQ,1000,1200,1100,21 Apr 2018
10,Jammu,Akhnoor,Onion,Other,FAQ,1000,1200,1100,28 May 2018
11,Jammu,Akhnoor,Onion,Other,FAQ,1000,1200,1100,29 May 2018
12,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,01 May 2018
13,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,02 May 2018
14,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,03 May 2018
15,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,04 May 2018
16,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,05 May 2018
17,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,06 Apr 2018
18,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,09 Jun 2018
19,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,09 May 2018
20,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,10 May 2018
21,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,11 Apr 2018
22,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,11 Jun 2018
23,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,11 May 2018
24,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,16 May 2018
25,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,17 Apr 2018
26,Jammu,Akhnoor,Onion,Other,FAQ,1100,1200,1150,17 May 2018
