0,1,2,3,4,5,6,7,8,9
1,Garhwa,Gadhwah,Onion,Other,FAQ,810,850,830,15 May 2019
2,Garhwa,Gadhwah,Onion,Other,FAQ,1160,1500,1340,18 Sep 2018
3,Garhwa,Gadhwah,Onion,Other,FAQ,1160,1500,1390,19 Sep 2018
4,Garhwa,Gadhwah,Onion,Other,FAQ,1260,1350,1330,17 Mar 2019
5,Garhwa,Gadhwah,Onion,Other,FAQ,1320,1500,1440,08 Oct 2018
6,Garhwa,Gadhwah,Onion,Other,FAQ,1630,1690,1670,17 May 2019
7,Giridih,Giridih,Onion,Other,FAQ,1200,1340,1300,20 Apr 2019
8,Giridih,Giridih,Onion,Other,FAQ,1200,1350,1300,29 Apr 2019
9,Giridih,Giridih,Onion,Other,FAQ,1300,1420,1400,03 Apr 2019
10,Giridih,Giridih,Onion,Other,FAQ,1300,1420,1400,09 Apr 2019
11,Giridih,Giridih,Onion,Other,FAQ,1300,1420,1400,12 Apr 2019
12,Giridih,Giridih,Onion,Other,FAQ,1300,1420,1400,15 Jul 2019
13,Giridih,Giridih,Onion,Other,FAQ,1300,1420,1400,17 Mar 2019
14,Giridih,Giridih,Onion,Other,FAQ,1300,1420,1400,17 May 2019
15,Giridih,Giridih,Onion,Other,FAQ,1300,1420,1400,21 Dec 2018
16,Giridih,Giridih,Onion,Other,FAQ,1300,1420,1400,22 Dec 2018
17,Giridih,Giridih,Onion,Other,FAQ,1300,1420,1400,28 Mar 2019
18,Giridih,Giridih,Onion,Other,FAQ,1300,1420,1400,29 Jan 2019
19,Giridih,Giridih,Onion,Other,FAQ,1300,1450,1400,02 May 2019
20,Giridih,Giridih,Onion,Other,FAQ,1300,1450,1400,10 Feb 2019
21,Giridih,Giridih,Onion,Other,FAQ,1300,1450,1400,11 May 2019
22,Giridih,Giridih,Onion,Other,FAQ,1300,1450,1400,12 Mar 2019
23,Giridih,Giridih,Onion,Other,FAQ,1300,1450,1400,13 Mar 2019
24,Giridih,Giridih,Onion,Other,FAQ,1300,1450,1400,15 Mar 2019
25,Giridih,Giridih,Onion,Other,FAQ,1300,1450,1400,16 Mar 2019
26,Giridih,Giridih,Onion,Other,FAQ,1300,1450,1400,18 Mar 2019
27,Giridih,Giridih,Onion,Other,FAQ,1300,1450,1400,20 Dec 2018
28,Giridih,Giridih,Onion,Other,FAQ,1300,1450,1400,20 Jun 2019
