0,1,2,3,4,5,6,7,8,9
1,Hassan,Arasikere,Onion,Onion,FAQ,9500,9500,9500,23 Jun 2015
2,Hassan,Arasikere,Onion,Onion,Medium,400,900,800,27 Sep 2014
3,Hassan,Arasikere,Onion,Onion,Medium,600,600,600,08 Dec 2014
4,Bagalkot,Bagalakot,Onion,Onion,Medium,300,1300,800,04 Apr 2015
5,Bagalkot,Bagalakot,Onion,Onion,Medium,300,1300,800,31 Mar 2015
6,Bagalkot,Bagalakot,Onion,Onion,Medium,300,3650,3400,01 Aug 2015
7,Chikmagalur,Bagepalli,Onion,Onion,FAQ,400,600,500,25 Apr 2015
8,Chikmagalur,Bagepalli,Onion,Onion,FAQ,1400,1600,1500,25 Mar 2015
9,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,700,19 Jan 2015
10,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,800,700,01 Apr 2015
11,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,800,700,25 Mar 2015
12,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,23 Mar 2015
13,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,850,750,04 Apr 2015
14,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,1000,900,16 Mar 2015
15,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,1200,800,27 Jan 2015
16,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,09 Jul 2015
17,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,27 Jun 2015
18,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1400,1200,15 Jul 2015
19,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1600,1300,10 Jun 2015
20,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,2400,1700,04 Aug 2015
21,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1200,2400,1800,06 Aug 2015
22,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1200,2400,1800,29 Aug 2015
23,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1500,2000,1800,24 Jul 2015
24,Bangalore,Bangalore,Onion,Bangalore-Samall,Medium,900,1200,1000,27 Sep 2014
25,Bangalore,Bangalore,Onion,Bangalore-Samall,Medium,1000,1400,1200,04 Sep 2014
26,Bangalore,Bangalore,Onion,Local,FAQ,900,1300,1100,16 Apr 2015
27,Bangalore,Bangalore,Onion,Local,FAQ,1000,1400,1200,06 Apr 2015
28,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1250,03 Jan 2015
29,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,20 Feb 2015
30,Bangalore,Bangalore,Onion,Local,FAQ,1400,1800,1600,23 Jun 2015
31,Bangalore,Bangalore,Onion,Local,FAQ,2000,2500,2250,25 Jul 2015
32,Bangalore,Bangalore,Onion,Local,FAQ,2000,2600,2300,27 Jul 2015
33,Bangalore,Bangalore,Onion,Local,Medium,1000,2000,1500,18 Dec 2014
34,Bangalore,Bangalore,Onion,Local,Medium,1200,1400,1300,20 Oct 2014
35,Bangalore,Bangalore,Onion,Local,Medium,1300,1500,1400,27 Sep 2014
36,Bangalore,Bangalore,Onion,Onion,FAQ,1300,1500,1400,09 Apr 2015
37,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1600,1500,03 Feb 2015
38,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1700,1600,28 May 2015
39,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1600,1550,09 Mar 2015
40,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1600,16 Mar 2015
41,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1650,26 Feb 2015
42,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2000,1750,08 Jan 2015
43,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2200,2000,17 Jul 2015
44,Bangalore,Bangalore,Onion,Onion,FAQ,2800,3200,3000,07 Aug 2015
45,Bangalore,Bangalore,Onion,Onion,FAQ,3000,6000,4500,24 Aug 2015
46,Bangalore,Bangalore,Onion,Onion,FAQ,3800,4200,4000,20 Aug 2015
47,Bangalore,Bangalore,Onion,Onion,Medium,1500,2400,1950,03 Nov 2014
48,Bangalore,Bangalore,Onion,Onion,Medium,1500,2400,1950,29 Nov 2014
49,Bangalore,Bangalore,Onion,Onion,Medium,1600,2000,1800,05 Sep 2014
50,Bangalore,Bangalore,Onion,Onion,Medium,1600,2500,2000,15 Dec 2014
51,Bangalore,Bangalore,Onion,Onion,Medium,1800,2000,1900,07 Oct 2014
52,Hassan,Arasikere,Onion,Onion,Medium,300,1250,700,22 Sep 2014
53,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,16 Jan 2015
54,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,900,750,12 May 2015
55,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,750,08 May 2015
56,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,1000,800,25 Apr 2015
57,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1050,06 Jul 2015
58,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1600,2400,2000,19 Aug 2015
59,Bangalore,Bangalore,Onion,Bangalore-Samall,Medium,500,1000,750,21 Oct 2014
60,Bangalore,Bangalore,Onion,Bangalore-Samall,Medium,500,1000,750,23 Oct 2014
61,Bangalore,Bangalore,Onion,Bangalore-Samall,Medium,600,1200,800,27 Jan 2015
62,Bangalore,Bangalore,Onion,Bangalore-Samall,Medium,1000,1200,1100,29 Sep 2014
63,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1000,16 Jan 2015
64,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1000,23 May 2015
65,Bangalore,Bangalore,Onion,Local,FAQ,1000,1100,1050,28 Mar 2015
66,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1100,29 Apr 2015
67,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1250,08 Jan 2015
68,Bangalore,Bangalore,Onion,Local,FAQ,1200,1500,1400,12 Mar 2015
69,Bangalore,Bangalore,Onion,Local,FAQ,1400,1600,1500,30 Jun 2015
70,Bangalore,Bangalore,Onion,Local,FAQ,1600,1800,1700,17 Jul 2015
71,Bangalore,Bangalore,Onion,Local,FAQ,2400,3000,2700,25 Aug 2015
72,Bangalore,Bangalore,Onion,Local,FAQ,2400,3000,2700,29 Aug 2015
73,Bangalore,Bangalore,Onion,Local,Medium,600,1000,800,05 Dec 2014
74,Bangalore,Bangalore,Onion,Local,Medium,600,1000,800,06 Dec 2014
75,Bangalore,Bangalore,Onion,Local,Medium,800,1200,1000,30 Dec 2014
76,Bangalore,Bangalore,Onion,Local,Medium,800,1500,1150,25 Nov 2014
77,Bangalore,Bangalore,Onion,Local,Medium,1000,1500,1300,30 Oct 2014
78,Bangalore,Bangalore,Onion,Local,Medium,1200,1600,1350,25 Oct 2014
79,Bangalore,Bangalore,Onion,Local,Medium,1400,1600,1500,12 Sep 2014
80,Bangalore,Bangalore,Onion,Local,Medium,1400,2000,1700,28 Oct 2014
81,Bangalore,Bangalore,Onion,Local,Medium,1600,2000,1800,27 Oct 2014
82,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1300,28 Mar 2015
83,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1600,1400,02 May 2015
84,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1800,1500,26 May 2015
85,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1500,1450,17 Apr 2015
86,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1600,1500,04 Feb 2015
87,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1800,1600,18 Jun 2015
88,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1650,18 Feb 2015
89,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2000,1650,11 May 2015
90,Bangalore,Bangalore,Onion,Onion,FAQ,1600,2000,1800,17 Jun 2015
91,Bangalore,Bangalore,Onion,Onion,FAQ,2800,3200,3000,03 Aug 2015
92,Bangalore,Bangalore,Onion,Onion,FAQ,2800,3200,3000,29 Jul 2015
93,Bangalore,Bangalore,Onion,Onion,Medium,1000,1800,1450,04 Dec 2014
94,Bangalore,Bangalore,Onion,Onion,Medium,1200,1600,1400,30 Dec 2014
95,Bangalore,Bangalore,Onion,Onion,Medium,1200,1600,1500,29 Dec 2014
96,Bangalore,Bangalore,Onion,Onion,Medium,1200,2000,1650,02 Dec 2014
97,Bangalore,Bangalore,Onion,Onion,Medium,1400,1800,1600,08 Sep 2014
98,Bangalore,Bangalore,Onion,Onion,Medium,1500,2200,1850,07 Nov 2014
99,Bangalore,Bangalore,Onion,Onion,Medium,1500,2300,1900,29 Oct 2014
100,Bangalore,Bangalore,Onion,Onion,Medium,1600,1800,1700,29 Sep 2014
101,Bangalore,Bangalore,Onion,Onion,Medium,1800,2200,2000,09 Oct 2014
102,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1850,19 Jan 2015
103,Bagalkot,Bagalakot,Onion,Onion,Medium,200,1500,800,28 Mar 2015
104,Bagalkot,Bagalakot,Onion,Onion,Medium,250,1700,850,24 Jan 2015
105,Bagalkot,Bagalakot,Onion,Onion,Medium,300,1400,900,18 Apr 2015
106,Bagalkot,Bagalakot,Onion,Onion,Medium,300,1800,800,10 Feb 2015
107,Bagalkot,Bagalakot,Onion,Onion,Medium,850,3800,3600,08 Aug 2015
108,Chikmagalur,Bagepalli,Onion,Onion,FAQ,900,1100,1000,02 May 2015
109,Chikmagalur,Bagepalli,Onion,Onion,FAQ,1000,1500,1300,17 Jan 2015
110,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,800,700,13 May 2015
111,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,750,04 Feb 2015
112,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,18 Feb 2015
113,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,24 Mar 2015
114,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,850,06 Feb 2015
115,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,800,700,27 Mar 2015
116,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,1000,900,12 Mar 2015
117,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,1200,1000,27 Feb 2015
118,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,07 Mar 2015
119,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1400,1100,25 Jun 2015
120,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1200,2400,1800,11 Aug 2015
121,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1500,2000,1800,28 Jul 2015
122,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1600,2400,2000,14 Aug 2015
123,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,2400,2200,30 Jul 2015
124,Bangalore,Bangalore,Onion,Bangalore-Samall,Large,800,1200,1000,10 Feb 2015
125,Bangalore,Bangalore,Onion,Bangalore-Samall,Medium,900,1100,1000,23 Sep 2014
126,Bangalore,Bangalore,Onion,Bangalore-Samall,Medium,1200,1600,1400,02 Sep 2014
127,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1000,21 May 2015
128,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1000,22 May 2015
129,Bangalore,Bangalore,Onion,Local,FAQ,1000,1100,1050,27 Mar 2015
130,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1100,22 Apr 2015
131,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,17 Mar 2015
132,Bangalore,Bangalore,Onion,Local,FAQ,1200,1400,1300,05 Mar 2015
133,Bangalore,Bangalore,Onion,Local,FAQ,1200,1400,1300,07 Mar 2015
134,Bangalore,Bangalore,Onion,Local,FAQ,1200,1600,1400,08 Jul 2015
135,Bangalore,Bangalore,Onion,Local,FAQ,2400,3000,2700,27 Aug 2015
