0,1,2,3,4,5,6,7,8,9
1,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,1100,750,24 Sep 2018
2,Ahmednagar,Ahmednagar,Onion,Other,FAQ,200,1150,900,17 Sep 2018
3,Ahmednagar,Ahmednagar,Onion,Other,FAQ,500,1500,700,04 Jul 2019
4,Ahmednagar,Ahmednagar,Onion,Red,FAQ,100,725,600,31 Jan 2019
5,Sholapur,Akluj,Onion,Red,FAQ,200,900,600,13 Dec 2018
6,Sholapur,Akluj,Onion,Red,FAQ,250,950,550,07 Feb 2019
7,Sholapur,Akluj,Onion,Red,FAQ,600,1450,1200,30 Jun 2019
8,Sholapur,Akluj,Onion,Red,FAQ,900,2700,2300,25 Aug 2019
9,Akola,Akola,Onion,Other,FAQ,300,700,500,12 Dec 2018
10,Akola,Akola,Onion,Other,FAQ,300,1000,650,09 Oct 2018
11,Akola,Akola,Onion,Other,FAQ,300,1100,700,15 Sep 2018
12,Akola,Akola,Onion,Other,FAQ,400,1500,950,19 Oct 2018
13,Ahmednagar,Akole,Onion,Other,FAQ,100,1000,653,27 Sep 2018
14,Ahmednagar,Akole,Onion,Other,FAQ,150,1151,850,11 Sep 2018
15,Ahmednagar,Akole,Onion,Other,FAQ,151,951,651,04 Apr 2019
16,Ahmednagar,Akole,Onion,Other,FAQ,151,1111,731,30 Apr 2019
17,Ahmednagar,Akole,Onion,Other,FAQ,200,1525,969,26 May 2019
18,Ahmednagar,Akole,Onion,Other,FAQ,200,1701,998,28 May 2019
19,Ahmednagar,Akole,Onion,Other,FAQ,200,1811,1288,13 Jun 2019
20,Ahmednagar,Akole,Onion,Other,FAQ,251,1500,1217,23 Jul 2019
21,Ahmednagar,Akole,Onion,Red,FAQ,50,700,457,13 Jan 2019
22,Jalgaon,Amalner,Onion,Local,FAQ,150,650,650,04 Jan 2019
23,Jalgaon,Amalner,Onion,Local,FAQ,250,345,345,25 Jan 2019
24,Jalgaon,Amalner,Onion,Local,FAQ,250,370,370,24 Jan 2019
25,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,200,1900,1050,28 Jul 2019
26,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,400,800,600,18 Feb 2019
27,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,400,900,650,13 Feb 2019
28,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,400,1200,800,07 May 2019
29,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,500,900,700,11 Feb 2019
30,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,500,1000,750,12 Mar 2019
31,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,500,1000,750,24 Feb 2019
32,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,600,1000,800,15 Mar 2019
33,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,600,1000,800,29 Apr 2019
34,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,600,1100,850,01 May 2019
35,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,600,1200,900,04 May 2019
36,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,600,1200,900,31 Aug 2018
37,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,600,1300,950,16 Sep 2018
38,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,600,1400,1000,06 Oct 2018
39,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,600,1700,1150,23 Nov 2018
40,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,700,1000,800,28 Dec 2018
41,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,700,1100,800,26 Dec 2018
42,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,700,1200,950,17 Sep 2018
43,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,700,1700,1200,02 Nov 2018
44,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,1000,1700,1350,19 Nov 2018
45,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,1000,1800,1400,31 Oct 2018
46,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,1000,2200,1600,12 Jun 2019
47,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,1200,3200,2200,28 Aug 2019
48,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,1400,1800,1600,22 Jun 2019
