0,1,2,3,4,5,6,7,8,9
1,Angul,Angaura,Onion,Other,FAQ,1000,2000,1500,25 Jun 2020
2,Angul,Angaura,Onion,Other,FAQ,1200,1800,1500,28 Jun 2020
3,Angul,Angaura,Onion,Other,FAQ,1500,2000,1700,19 Jun 2020
4,Angul,Angaura,Onion,Other,FAQ,1500,2000,1800,07 Jul 2020
5,Angul,Angaura,Onion,Other,FAQ,1500,2000,1800,12 Jul 2020
6,Angul,Angaura,Onion,Other,FAQ,1500,2000,1800,13 Jul 2020
7,Angul,Angaura,Onion,Other,FAQ,1500,2000,1800,20 Jun 2020
8,Angul,Angaura,Onion,Other,FAQ,1800,2000,1900,20 Jul 2020
9,Angul,Angaura,Onion,Other,FAQ,3000,4000,3500,09 Sep 2019
10,Angul,Angaura,Onion,Other,FAQ,3500,3900,3800,13 Sep 2019
11,Angul,Angaura,Onion,Other,FAQ,3500,4000,3800,07 Sep 2019
12,Angul,Angaura,Onion,Other,FAQ,3500,4000,3800,12 Sep 2019
13,Angul,Angaura,Onion,Other,FAQ,5000,6000,5500,01 Nov 2019
14,Angul,Angul,Onion,Other,FAQ,2000,2200,2000,06 Jul 2020
15,Angul,Angul,Onion,Other,FAQ,2000,2200,2000,07 Jul 2020
16,Angul,Angul,Onion,Other,FAQ,2000,2200,2000,08 Jul 2020
17,Angul,Angul,Onion,Other,FAQ,2500,3000,2500,07 Sep 2019
18,Angul,Angul,Onion,Other,FAQ,2500,3000,2500,09 Sep 2019
19,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,01 Oct 2019
20,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,01 Sep 2019
21,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,02 Oct 2019
22,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,02 Sep 2019
23,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,03 Sep 2019
24,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,05 Sep 2019
25,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,10 Sep 2019
26,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,11 Sep 2019
27,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,12 Sep 2019
28,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,14 Sep 2019
29,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,15 Sep 2019
30,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,16 Sep 2019
31,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,30 Sep 2019
32,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,31 Aug 2019
33,Angul,Angul,Onion,Other,FAQ,3000,4000,3500,19 Sep 2019
34,Angul,Angul,Onion,Other,FAQ,3000,4000,3500,20 Sep 2019
35,Angul,Angul,Onion,Other,FAQ,4000,5000,4500,01 Nov 2019
36,Angul,Angul,Onion,Other,FAQ,4000,5000,4500,05 Nov 2019
37,Angul,Angul,Onion,Other,FAQ,4000,5000,4500,07 Oct 2019
38,Angul,Angul,Onion,Other,FAQ,4000,5000,4500,08 Oct 2019
39,Angul,Angul,Onion,Other,FAQ,4000,5000,4500,09 Oct 2019
40,Angul,Angul,Onion,Other,FAQ,4000,5000,4500,11 Oct 2019
