0,1,2,3,4,5,6,7,8,9
1,Fazilka,Abohar,Onion,Onion,FAQ,0,0,700,17 Jun 2017
2,Fazilka,Abohar,Onion,Onion,FAQ,500,1000,800,20 Jun 2017
3,Fazilka,Abohar,Onion,Onion,FAQ,600,925,850,09 Nov 2016
4,Fazilka,Abohar,Onion,Onion,FAQ,600,1250,1050,19 Nov 2016
5,Fazilka,Abohar,Onion,Onion,FAQ,650,925,850,22 Feb 2017
6,Fazilka,Abohar,Onion,Onion,FAQ,650,1000,800,11 Jul 2017
7,Fazilka,Abohar,Onion,Onion,FAQ,650,1000,850,13 Feb 2017
8,Fazilka,Abohar,Onion,Onion,FAQ,650,1000,850,28 Dec 2016
9,Fazilka,Abohar,Onion,Onion,FAQ,700,1000,850,21 Mar 2017
10,Fazilka,Abohar,Onion,Onion,FAQ,750,1100,850,23 Nov 2016
11,Fazilka,Abohar,Onion,Onion,FAQ,1555,2510,2050,09 Aug 2017
12,Jalandhar,Adampur,Onion,Other,FAQ,700,800,800,10 Jun 2017
13,Jalandhar,Adampur,Onion,Other,FAQ,700,800,800,12 Jun 2017
14,Jalandhar,Adampur,Onion,Other,FAQ,700,800,800,31 May 2017
15,Jalandhar,Adampur,Onion,Other,FAQ,700,900,900,07 Jun 2017
16,Jalandhar,Adampur,Onion,Other,FAQ,700,1300,1300,11 Nov 2016
17,Jalandhar,Adampur,Onion,Other,FAQ,700,1300,1300,14 Nov 2016
18,Jalandhar,Adampur,Onion,Other,FAQ,800,900,900,03 Mar 2017
19,Jalandhar,Adampur,Onion,Other,FAQ,800,900,900,11 Mar 2017
20,Jalandhar,Adampur,Onion,Other,FAQ,800,900,900,16 Mar 2017
21,Jalandhar,Adampur,Onion,Other,FAQ,800,900,900,27 May 2017
22,Jalandhar,Adampur,Onion,Other,FAQ,800,1000,1000,03 Apr 2017
23,Jalandhar,Adampur,Onion,Other,FAQ,800,1000,1000,19 Apr 2017
24,Jalandhar,Adampur,Onion,Other,FAQ,800,1000,1000,20 Mar 2017
25,Jalandhar,Adampur,Onion,Other,FAQ,800,1000,1000,24 Jul 2017
26,Jalandhar,Adampur,Onion,Other,FAQ,800,1000,1000,26 Apr 2017
27,Jalandhar,Adampur,Onion,Other,FAQ,900,1000,1000,04 Feb 2017
28,Jalandhar,Adampur,Onion,Other,FAQ,900,1000,1000,04 Jan 2017
29,Jalandhar,Adampur,Onion,Other,FAQ,900,1000,1000,06 Jan 2017
30,Jalandhar,Adampur,Onion,Other,FAQ,900,1000,1000,20 Jan 2017
31,Jalandhar,Adampur,Onion,Other,FAQ,900,1000,1000,26 Oct 2016
32,Jalandhar,Adampur,Onion,Other,FAQ,1000,1100,1100,07 Dec 2016
33,Jalandhar,Adampur,Onion,Other,FAQ,1200,1300,1300,21 Nov 2016
34,Jalandhar,Adampur,Onion,Other,FAQ,1200,1400,1400,26 Nov 2016
35,Jalandhar,Adampur,Onion,Other,FAQ,2200,2300,2300,23 Aug 2017
36,Amritsar,Ajnala,Onion,Nasik,FAQ,600,800,700,24 May 2017
37,Amritsar,Ajnala,Onion,Nasik,FAQ,700,800,800,10 Oct 2016
38,Amritsar,Ajnala,Onion,Nasik,FAQ,700,900,800,05 Mar 2017
39,Amritsar,Ajnala,Onion,Nasik,FAQ,700,900,800,26 Jun 2017
40,Amritsar,Ajnala,Onion,Nasik,FAQ,800,800,800,15 May 2017
41,Amritsar,Ajnala,Onion,Nasik,FAQ,800,900,800,25 Sep 2016
42,Amritsar,Ajnala,Onion,Nasik,FAQ,800,1000,800,29 Dec 2016
43,Amritsar,Ajnala,Onion,Nasik,FAQ,800,1000,900,06 Jul 2017
44,Amritsar,Ajnala,Onion,Nasik,FAQ,800,1000,900,08 Jul 2017
45,Amritsar,Ajnala,Onion,Nasik,FAQ,800,1000,900,21 Nov 2016
46,Amritsar,Ajnala,Onion,Nasik,FAQ,800,1000,900,26 Jul 2017
47,Amritsar,Ajnala,Onion,Nasik,FAQ,800,1000,900,29 Jun 2017
48,Amritsar,Ajnala,Onion,Nasik,FAQ,800,1100,1000,10 Nov 2016
