0,1,2,3,4,5,6,7,8,9
1,Sirohi,Abu Road,Onion,Other,FAQ,975,1025,1000,08 Jun 2022
2,Sirohi,Abu Road,Onion,Other,FAQ,1175,1225,1200,11 Apr 2022
3,Sirohi,Abu Road,Onion,Other,FAQ,1175,1225,1200,20 Sep 2021
4,Sirohi,Abu Road,Onion,Other,FAQ,1175,1225,1200,22 Apr 2022
5,Sirohi,Abu Road,Onion,Other,FAQ,1175,1225,1200,22 Sep 2021
6,Sirohi,Abu Road,Onion,Other,FAQ,1175,1225,1200,26 Jun 2022
7,Sirohi,Abu Road,Onion,Other,FAQ,1175,1225,1200,31 Aug 2022
8,Sirohi,Abu Road,Onion,Other,FAQ,1475,1525,1500,14 Dec 2021
9,Sirohi,Abu Road,Onion,Other,FAQ,1975,2025,2000,03 Mar 2022
10,Sirohi,Abu Road,Onion,Other,FAQ,1975,2025,2000,22 Mar 2022
11,Sirohi,Abu Road,Onion,Other,FAQ,2175,2225,2200,16 Oct 2021
12,Sirohi,Abu Road,Onion,Other,FAQ,2175,2225,2200,17 Oct 2021
13,Sirohi,Abu Road,Onion,Other,FAQ,2975,3025,3000,11 Nov 2021
14,Ajmer,Ajmer(F&V),Onion,Other,FAQ,700,1800,1300,11 May 2022
15,Ajmer,Ajmer(F&V),Onion,Other,FAQ,700,2000,1400,22 Apr 2022
16,Ajmer,Ajmer(F&V),Onion,Other,FAQ,800,1400,1100,05 May 2022
17,Ajmer,Ajmer(F&V),Onion,Other,FAQ,800,1800,1300,25 Aug 2022
18,Ajmer,Ajmer(F&V),Onion,Other,FAQ,1000,2000,1500,19 Jul 2022
19,Ajmer,Ajmer(F&V),Onion,Other,FAQ,1000,2400,1700,27 Jan 2022
20,Ajmer,Ajmer(F&V),Onion,Other,FAQ,1200,2000,1600,18 Jul 2022
21,Ajmer,Ajmer(F&V),Onion,Other,FAQ,1200,2800,2000,03 Mar 2022
22,Ajmer,Ajmer(F&V),Onion,Other,FAQ,1200,3600,2400,30 Nov 2021
23,Ajmer,Ajmer(F&V),Onion,Other,FAQ,1300,2000,1650,18 Aug 2022
24,Ajmer,Ajmer(F&V),Onion,Other,FAQ,1400,2400,1900,06 Sep 2021
25,Ajmer,Ajmer(F&V),Onion,Other,FAQ,1400,3200,2300,11 Nov 2021
26,Ajmer,Ajmer(F&V),Onion,Other,FAQ,1500,2500,2000,10 Jan 2022
27,Ajmer,Ajmer(F&V),Onion,Other,FAQ,1500,2700,2100,29 Jan 2022
28,Ajmer,Ajmer(F&V),Onion,Other,FAQ,1500,2800,2200,13 Mar 2022
