0,1,2,3,4,5,6,7,8,9
1,South District,Barpathari,Onion,Red,FAQ,2300,2500,2400,22 Apr 2024
2,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,03 May 2024
3,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,05 Feb 2024
4,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,09 Feb 2024
5,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,10 Feb 2024
6,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,11 Feb 2024
7,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,12 Feb 2024
8,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,14 Feb 2024
9,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,15 Feb 2024
10,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,16 Feb 2024
11,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,17 Feb 2024
12,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,19 Feb 2024
13,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,21 Feb 2024
14,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,22 Mar 2024
15,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,24 Apr 2024
16,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,25 Mar 2024
17,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,26 Apr 2024
18,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,27 Apr 2024
19,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,27 Mar 2024
20,South District,Barpathari,Onion,Red,FAQ,2400,2600,2500,28 Apr 2024
21,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,01 Apr 2024
22,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,01 Mar 2024
23,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,02 Mar 2024
24,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,02 May 2024
25,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,03 Apr 2024
26,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,04 Mar 2024
27,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,05 Apr 2024
28,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,06 May 2024
29,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,07 Mar 2024
30,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,08 Apr 2024
31,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,08 Mar 2024
32,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,08 May 2024
33,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,10 Apr 2024
34,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,11 Mar 2024
35,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,12 Apr 2024
36,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,13 Apr 2024
37,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,15 Apr 2024
38,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,15 Mar 2024
39,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,16 Mar 2024
40,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,17 Apr 2024
41,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,18 Mar 2024
42,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,19 Apr 2024
43,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,20 Mar 2024
44,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,21 Apr 2024
45,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,21 Mar 2024
46,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,26 Feb 2024
47,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,28 Feb 2024
48,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,29 Apr 2024
49,South District,Barpathari,Onion,Red,FAQ,2500,2700,2600,29 Mar 2024
50,South District,Barpathari,Onion,Red,FAQ,2600,2800,2700,07 Jun 2024
51,South District,Barpathari,Onion,Red,FAQ,2700,2900,2800,23 Feb 2024
52,South District,Barpathari,Onion,Red,FAQ,2800,3000,2900,03 Jun 2024
53,South District,Barpathari,Onion,Red,FAQ,2800,3000,2900,31 May 2024
54,South District,Barpathari,Onion,Red,FAQ,2900,3100,3000,13 May 2024
55,South District,Barpathari,Onion,Red,FAQ,2900,3100,3000,16 May 2024
56,South District,Barpathari,Onion,Red,FAQ,3000,3200,3100,10 May 2024
57,South District,Barpathari,Onion,Red,FAQ,3000,3200,3100,12 May 2024
58,South District,Barpathari,Onion,Red,FAQ,3100,3300,3200,17 May 2024
59,South District,Barpathari,Onion,Red,FAQ,3100,3300,3200,20 May 2024
60,South District,Barpathari,Onion,Red,FAQ,3100,3300,3200,24 May 2024
61,South District,Barpathari,Onion,Red,FAQ,3100,3300,3200,27 May 2024
62,South District,Barpathari,Onion,Red,FAQ,3100,3300,3200,29 May 2024
63,South District,Barpathari,Onion,Red,FAQ,3200,3400,3300,01 Jan 2024
64,South District,Barpathari,Onion,Red,FAQ,3200,3400,3300,02 Jan 2024
65,South District,Barpathari,Onion,Red,FAQ,3200,3400,3300,05 Jan 2024
66,South District,Barpathari,Onion,Red,FAQ,3200,3400,3300,07 Jan 2024
67,South District,Barpathari,Onion,Red,FAQ,3200,3400,3300,08 Jan 2024
68,South District,Barpathari,Onion,Red,FAQ,3200,3400,3300,09 Jan 2024
69,South District,Barpathari,Onion,Red,FAQ,3200,3400,3300,11 Jan 2024
70,South District,Barpathari,Onion,Red,FAQ,3300,3500,3400,01 Feb 2024
71,South District,Barpathari,Onion,Red,FAQ,3300,3500,3400,02 Feb 2024
72,South District,Barpathari,Onion,Red,FAQ,3300,3500,3400,04 Feb 2024
73,South District,Barpathari,Onion,Red,FAQ,3300,3500,3400,19 Jan 2024
