0,1,2,3,4,5,6,7,8,9
1,UdhamSinghNagar,Bazpur,Onion,Other,FAQ,1000,1200,1067,04 Mar 2023
2,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,400,800,700,03 Jul 2023
3,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,400,900,500,25 Jun 2023
4,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,400,900,800,26 Jun 2023
5,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,500,700,600,12 May 2023
6,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,500,700,600,13 May 2023
7,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,500,900,600,12 Jun 2023
8,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,700,650,10 May 2023
9,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,700,650,11 Jun 2023
10,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,700,650,11 May 2023
11,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,700,650,12 Jul 2023
12,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,700,650,20 May 2023
13,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,700,650,22 May 2023
14,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,700,650,23 May 2023
15,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,700,650,24 May 2023
16,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,01 Jul 2023
17,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,06 Jun 2023
18,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,07 May 2023
19,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,08 Jun 2023
20,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,10 Jun 2023
21,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,13 Jun 2023
22,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,14 Jun 2023
23,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,15 Jul 2023
24,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,17 Jul 2023
25,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,18 Jul 2023
26,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,19 Jul 2023
27,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,20 Jun 2023
28,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,21 May 2023
29,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,22 Jun 2023
30,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,23 Jun 2023
31,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,27 Jun 2023
32,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,28 Jun 2023
33,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,800,700,30 May 2023
34,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,900,700,24 Jun 2023
35,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,600,1000,800,11 Jul 2023
36,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,800,750,04 Dec 2022
37,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,800,750,04 Jan 2023
38,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,800,750,04 Jun 2023
39,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,800,750,05 Jul 2023
40,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,800,750,05 Jun 2023
41,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,800,750,15 Dec 2022
42,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,800,750,17 May 2023
43,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,800,750,18 Nov 2022
44,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,800,750,19 Jun 2023
45,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,800,750,27 Apr 2023
46,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,800,750,27 May 2023
47,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,800,750,28 May 2023
48,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,900,750,06 Jul 2023
49,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,900,800,06 Sep 2022
50,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,700,900,800,31 Aug 2022
51,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,800,850,825,25 May 2023
52,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,800,900,850,09 Sep 2022
53,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,800,900,850,10 Sep 2022
54,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,800,900,850,31 Dec 2022
55,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,800,1000,900,11 Oct 2022
56,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,800,1000,900,12 Sep 2022
57,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,800,1000,900,15 Oct 2022
58,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,800,1000,900,16 Sep 2022
59,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,800,1000,900,17 Oct 2022
60,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,800,1000,900,17 Sep 2022
61,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,800,1000,900,22 Jul 2023
62,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,800,1000,900,24 Oct 2022
63,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,800,1000,900,26 Sep 2022
