0,1,2,3,4,5,6,7,8,9
1,Auraiya,Achalda,Onion,Red,FAQ,0,0,800,20 Jun 2016
2,Auraiya,Achalda,Onion,Red,FAQ,0,0,830,21 Jun 2016
3,Auraiya,Achalda,Onion,Red,FAQ,0,0,845,29 Jun 2016
4,Auraiya,Achalda,Onion,Red,FAQ,0,0,870,09 Jul 2016
5,Auraiya,Achalda,Onion,Red,FAQ,0,0,870,29 Jul 2016
6,Auraiya,Achalda,Onion,Red,FAQ,0,0,1020,21 May 2016
7,Auraiya,Achalda,Onion,Red,FAQ,0,0,1120,13 May 2016
8,Auraiya,Achalda,Onion,Red,FAQ,0,0,1120,29 Mar 2016
9,Auraiya,Achalda,Onion,Red,FAQ,0,0,1140,04 Apr 2016
10,Auraiya,Achalda,Onion,Red,FAQ,0,0,1150,25 Mar 2016
11,Auraiya,Achalda,Onion,Red,FAQ,0,0,1340,28 Apr 2016
12,Auraiya,Achalda,Onion,Red,FAQ,0,0,1440,25 Feb 2016
13,Auraiya,Achalda,Onion,Red,FAQ,0,0,1500,28 Jan 2016
14,Auraiya,Achalda,Onion,Red,FAQ,0,0,1520,19 Jan 2016
15,Auraiya,Achalda,Onion,Red,FAQ,0,0,2200,16 Nov 2015
16,Auraiya,Achalda,Onion,Red,FAQ,0,0,2350,18 Nov 2015
17,Auraiya,Achalda,Onion,Red,FAQ,0,0,2500,09 Nov 2015
18,Auraiya,Achalda,Onion,Red,FAQ,0,0,3800,08 Sep 2015
19,Auraiya,Achalda,Onion,Red,FAQ,0,0,3850,18 Sep 2015
20,Auraiya,Achalda,Onion,Red,FAQ,0,0,3950,29 Sep 2015
21,Auraiya,Achalda,Onion,Red,FAQ,0,0,8500,13 Jul 2016
22,Auraiya,Achalda,Onion,Red,FAQ,800,950,880,30 Aug 2016
23,Auraiya,Achalda,Onion,Red,FAQ,800,1000,900,26 Aug 2016
24,Agra,Agra,Onion,Red,FAQ,0,0,885,06 Jun 2016
25,Agra,Agra,Onion,Red,FAQ,0,0,900,19 May 2016
26,Agra,Agra,Onion,Red,FAQ,0,0,910,26 Apr 2016
27,Agra,Agra,Onion,Red,FAQ,0,0,940,28 Apr 2016
28,Agra,Agra,Onion,Red,FAQ,0,0,945,09 May 2016
29,Agra,Agra,Onion,Red,FAQ,0,0,950,14 Jul 2016
30,Agra,Agra,Onion,Red,FAQ,0,0,960,29 Jul 2016
