0,1,2,3,4,5,6,7,8,9
1,Alipurduar,Alipurduar,Onion,Other,FAQ,1100,1300,1200,12 May 2020
2,Alipurduar,Alipurduar,Onion,Other,FAQ,1100,1300,1200,17 May 2020
3,Alipurduar,Alipurduar,Onion,Other,FAQ,1100,1300,1200,19 May 2020
4,Alipurduar,Alipurduar,Onion,Other,FAQ,1100,1300,1200,20 May 2020
5,Alipurduar,Alipurduar,Onion,Other,FAQ,1100,1300,1200,21 May 2020
6,Alipurduar,Alipurduar,Onion,Other,FAQ,1200,1400,1300,01 Jun 2020
7,Alipurduar,Alipurduar,Onion,Other,FAQ,1200,1400,1300,02 Jun 2020
8,Alipurduar,Alipurduar,Onion,Other,FAQ,1200,1400,1300,03 Jun 2020
9,Alipurduar,Alipurduar,Onion,Other,FAQ,1200,1400,1300,13 May 2020
10,Alipurduar,Alipurduar,Onion,Other,FAQ,1200,1400,1300,14 May 2020
11,Alipurduar,Alipurduar,Onion,Other,FAQ,1200,1400,1300,16 May 2020
12,Alipurduar,Alipurduar,Onion,Other,FAQ,1200,1400,1300,18 May 2020
13,Alipurduar,Alipurduar,Onion,Other,FAQ,1200,1400,1300,22 May 2020
14,Alipurduar,Alipurduar,Onion,Other,FAQ,1200,1400,1300,23 May 2020
15,Alipurduar,Alipurduar,Onion,Other,FAQ,1200,1400,1300,24 May 2020
16,Alipurduar,Alipurduar,Onion,Other,FAQ,1300,1500,1400,06 Jun 2020
17,Alipurduar,Alipurduar,Onion,Other,FAQ,1300,1500,1400,07 Jun 2020
18,Alipurduar,Alipurduar,Onion,Other,FAQ,1300,1500,1400,07 May 2020
19,Alipurduar,Alipurduar,Onion,Other,FAQ,1300,1500,1400,08 Jun 2020
20,Alipurduar,Alipurduar,Onion,Other,FAQ,1300,1500,1400,08 May 2020
21,Alipurduar,Alipurduar,Onion,Other,FAQ,1300,1500,1400,09 May 2020
22,Alipurduar,Alipurduar,Onion,Other,FAQ,1300,1500,1400,10 May 2020
23,Alipurduar,Alipurduar,Onion,Other,FAQ,1300,1500,1400,11 Jun 2020
24,Alipurduar,Alipurduar,Onion,Other,FAQ,1300,1500,1400,11 May 2020
25,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,02 May 2020
26,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,03 May 2020
27,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,04 May 2020
28,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,05 Jun 2020
29,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,09 Jun 2020
30,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,10 Jun 2020
31,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,12 Jun 2020
32,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,13 Jul 2020
33,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,13 Jun 2020
34,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,14 Jul 2020
35,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,14 Jun 2020
36,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,15 Jul 2020
37,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,16 Jul 2020
38,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,20 Apr 2020
39,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,20 Mar 2020
40,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,21 Mar 2020
41,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,22 Jul 2020
42,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,23 Apr 2020
43,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,23 Jul 2020
44,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,23 Mar 2020
45,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,24 Jul 2020
46,Alipurduar,Alipurduar,Onion,Other,FAQ,1400,1600,1500,26 Apr 2020
47,Alipurduar,Alipurduar,Onion,Other,FAQ,1500,1700,1600,01 Jul 2020
48,Alipurduar,Alipurduar,Onion,Other,FAQ,1500,1700,1600,02 Jul 2020
49,Alipurduar,Alipurduar,Onion,Other,FAQ,1500,1700,1600,04 Jul 2020
50,Alipurduar,Alipurduar,Onion,Other,FAQ,1500,1700,1600,04 Jun 2020
51,Alipurduar,Alipurduar,Onion,Other,FAQ,1500,1700,1600,05 May 2020
52,Alipurduar,Alipurduar,Onion,Other,FAQ,1500,1700,1600,08 Apr 2020
53,Alipurduar,Alipurduar,Onion,Other,FAQ,1500,1700,1600,09 Apr 2020
54,Alipurduar,Alipurduar,Onion,Other,FAQ,1500,1700,1600,10 Apr 2020
