0,1,2,3,4,5,6,7,8,9
1,Kurnool,Alur,Onion,Beelary-Red,Medium,615,875,714,15 Nov 2014
2,Kurnool,Alur,Onion,Beelary-Red,Medium,625,800,714,20 Nov 2014
3,Kurnool,Alur,Onion,Beelary-Red,Medium,800,990,850,02 Nov 2014
4,Kurnool,Alur,Onion,Beelary-Red,Medium,800,1000,900,07 Dec 2014
5,Kurnool,Alur,Onion,Beelary-Red,Medium,830,1020,960,12 Dec 2014
6,Kurnool,Alur,Onion,Beelary-Red,Medium,850,1050,950,26 Oct 2014
7,Kurnool,Alur,Onion,Beelary-Red,Medium,1050,1250,1150,31 Dec 2014
8,Kurnool,Alur,Onion,Beelary-Red,Medium,1600,2000,1800,07 May 2015
9,Kurnool,Alur,Onion,Beelary-Red,Medium,1900,2100,2000,24 Apr 2015
10,Kurnool,Alur,Onion,Beelary-Red,Medium,2100,2300,2200,08 Jul 2015
11,Kurnool,Alur,Onion,Beelary-Red,Medium,2200,2600,2400,27 Jun 2015
12,Kurnool,Alur,Onion,Beelary-Red,Medium,2400,2800,2600,30 Jul 2015
13,Kurnool,Alur,Onion,Beelary-Red,Medium,2700,3100,2900,17 Aug 2015
14,Kurnool,Alur,Onion,Beelary-Red,Medium,3400,4400,3900,28 Aug 2015
15,Kurnool,Banaganapalli,Onion,Local,Medium,600,800,700,07 Oct 2014
16,Chittor,Chittor(Rythu Bazar),Onion,1st Sort,Large,4000,6000,5000,29 Aug 2015
17,Chittor,Chittor(Rythu Bazar),Onion,1st Sort,Large,4500,6000,5000,28 Aug 2015
18,Chittor,Chittor(Rythu Bazar),Onion,Bangalore-Samall,Large,1800,2200,2000,04 Jun 2015
19,Chittor,Chittor(Rythu Bazar),Onion,Bangalore-Samall,Large,2200,2600,2400,01 Jul 2015
20,Chittor,Chittor(Rythu Bazar),Onion,Bangalore-Samall,Large,2200,2600,2400,30 Jun 2015
21,West Godavari,"Eluru(P.Sri.Mkt),RBZ",Onion,Medium,Medium,2600,2600,2600,08 Jun 2015
22,West Godavari,"Eluru(P.Sri.Mkt),RBZ",Onion,Onion,Medium,20,20,20,11 Apr 2015
23,West Godavari,"Eluru(P.Sri.Mkt),RBZ",Onion,Onion,Medium,22,22,22,14 May 2015
24,West Godavari,"Eluru(P.Sri.Mkt),RBZ",Onion,Onion,Medium,2600,2600,2600,24 Jun 2015
25,West Godavari,"Eluru(P.Sri.Mkt),RBZ",Onion,Onion,Medium,3400,3400,3400,23 Jul 2015
26,West Godavari,"Eluru-II,RBZ",Onion,Onion,Medium,2600,2600,2600,02 Jul 2015
27,West Godavari,"Eluru-II,RBZ",Onion,Onion,Medium,2600,2600,2600,03 Jul 2015
28,West Godavari,"Eluru-II,RBZ",Onion,Onion,Medium,2600,2600,2600,14 Jun 2015
29,West Godavari,"Eluru-II,RBZ",Onion,Onion,Medium,2600,2600,2600,18 Jul 2015
30,West Godavari,Kovvur,Onion,Onion,Medium,1300,1700,1500,19 Oct 2014
31,West Godavari,Kovvur,Onion,Onion,Medium,1300,1700,1500,28 Oct 2014
32,West Godavari,Kovvur,Onion,Onion,Medium,1400,1800,1600,26 Apr 2015
33,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,01 Nov 2014
34,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,19 Nov 2014
35,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,22 Feb 2015
36,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,03 Jun 2015
37,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,12 May 2015
38,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,22 Jun 2015
39,Kurnool,Kurnool,Onion,Local,FAQ,540,1455,1135,10 Dec 2014
40,Kurnool,Kurnool,Onion,Local,Medium,540,1505,1160,01 Dec 2014
41,Kurnool,Kurnool,Onion,Local,Medium,560,1470,1145,03 Dec 2014
42,Kurnool,Kurnool,Onion,Local,Medium,590,1405,1150,11 Dec 2014
43,Kurnool,Kurnool,Onion,Local,Medium,635,1220,900,22 Sep 2014
44,Kurnool,Kurnool,Onion,Local,Medium,710,1145,910,25 Apr 2015
45,Kurnool,Kurnool,Onion,Local,Medium,730,1430,920,30 Apr 2015
46,Kurnool,Kurnool,Onion,Local,Medium,750,1355,1150,20 Sep 2014
47,Kurnool,Kurnool,Onion,Local,Medium,800,1450,1105,15 May 2015
48,Kurnool,Kurnool,Onion,Local,Medium,925,1465,1125,17 Apr 2015
49,Kurnool,Kurnool,Onion,Local,Medium,1020,1425,1285,23 Mar 2015
50,Kurnool,Alur,Onion,Beelary-Red,Medium,715,715,715,23 Nov 2014
51,Kurnool,Alur,Onion,Beelary-Red,Medium,800,1000,900,18 Oct 2014
52,Kurnool,Alur,Onion,Beelary-Red,Medium,800,1020,980,30 Nov 2014
53,Kurnool,Alur,Onion,Beelary-Red,Medium,1050,1200,1120,11 Dec 2014
54,Kurnool,Alur,Onion,Beelary-Red,Medium,1050,1230,1160,19 Dec 2014
55,Kurnool,Alur,Onion,Beelary-Red,Medium,1050,1560,1250,06 Jan 2015
56,Kurnool,Alur,Onion,Beelary-Red,Medium,1600,2000,1800,08 May 2015
57,Kurnool,Alur,Onion,Beelary-Red,Medium,1800,2000,1900,31 May 2015
58,Kurnool,Alur,Onion,Beelary-Red,Medium,2100,2300,2200,15 Jul 2015
59,Kurnool,Alur,Onion,Beelary-Red,Medium,2200,2400,2300,29 Apr 2015
60,Kurnool,Alur,Onion,Beelary-Red,Medium,2500,2700,2600,16 Jun 2015
61,Kurnool,Alur,Onion,Beelary-Red,Medium,2500,2900,2700,31 Jul 2015
62,Kurnool,Alur,Onion,Beelary-Red,Medium,2800,3200,3000,18 Aug 2015
63,Kurnool,Alur,Onion,Beelary-Red,Medium,3500,4500,4000,23 Aug 2015
64,Chittor,Chittor(Rythu Bazar),Onion,Bangalore-Samall,Large,16,20,18,17 Apr 2015
65,Chittor,Chittor(Rythu Bazar),Onion,Bangalore-Samall,Large,1800,2200,2000,02 Jun 2015
66,Chittor,Chittor(Rythu Bazar),Onion,Bangalore-Samall,Large,1800,3000,2000,30 Jul 2015
67,Chittor,Chittor(Rythu Bazar),Onion,Bangalore-Samall,Large,2500,3000,2600,28 Jul 2015
68,West Godavari,"Eluru(P.Sri.Mkt),RBZ",Onion,Onion,Medium,2600,2600,2600,03 Jul 2015
69,West Godavari,"Eluru-II,RBZ",Onion,Onion,Medium,20,20,20,04 Apr 2015
70,West Godavari,"Eluru-II,RBZ",Onion,Onion,Medium,20,20,20,11 Apr 2015
71,West Godavari,"Eluru-II,RBZ",Onion,Onion,Medium,2600,2600,2600,17 Jul 2015
72,West Godavari,"Eluru-II,RBZ",Onion,Onion,Medium,2600,2600,2600,20 Jul 2015
73,West Godavari,"Eluru-II,RBZ",Onion,Onion,Medium,3400,3400,3400,23 Jul 2015
74,West Godavari,Kovvur,Onion,Onion,Medium,1300,1700,1500,01 Oct 2014
75,West Godavari,Kovvur,Onion,Onion,Medium,1300,1700,1500,05 Oct 2014
76,West Godavari,Kovvur,Onion,Onion,Medium,1300,1700,1500,06 Apr 2015
77,West Godavari,Kovvur,Onion,Onion,Medium,1300,1700,1500,12 Apr 2015
78,West Godavari,Kovvur,Onion,Onion,Medium,1300,1700,1500,30 Apr 2015
79,West Godavari,Kovvur,Onion,Onion,Medium,1400,1800,1600,05 Apr 2015
80,West Godavari,Kovvur,Onion,Onion,Medium,1400,1800,1600,13 Apr 2015
81,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,01 Jan 2015
82,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,05 Jan 2015
83,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,10 Oct 2014
84,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,11 Feb 2015
85,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,16 Jan 2015
86,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,20 Nov 2014
87,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,23 Nov 2014
88,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,31 Dec 2014
89,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,04 Aug 2015
90,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,10 Jun 2015
91,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,11 May 2015
92,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,14 Aug 2015
93,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,27 Aug 2015
94,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,28 Dec 2014
95,West Godavari,Kovvur,Onion,Onion,Medium,2000,2400,2200,13 Jun 2015
96,Kurnool,Kurnool,Onion,Local,Medium,545,1525,1130,08 Dec 2014
97,Kurnool,Kurnool,Onion,Local,Medium,620,1400,1280,15 Oct 2014
98,Kurnool,Kurnool,Onion,Local,Medium,650,1285,1065,11 Sep 2014
99,Kurnool,Alur,Onion,Beelary-Red,Medium,714,714,714,25 Nov 2014
100,Kurnool,Alur,Onion,Beelary-Red,Medium,830,1150,1000,13 Dec 2014
101,Kurnool,Alur,Onion,Beelary-Red,Medium,1600,2000,1800,17 May 2015
102,Kurnool,Alur,Onion,Beelary-Red,Medium,1800,2000,1900,04 Jun 2015
103,Kurnool,Alur,Onion,Beelary-Red,Medium,1800,2000,1900,29 May 2015
104,Kurnool,Alur,Onion,Beelary-Red,Medium,1800,2000,1900,30 May 2015
105,Kurnool,Alur,Onion,Beelary-Red,Medium,2000,2400,2200,09 Jul 2015
106,Kurnool,Alur,Onion,Beelary-Red,Medium,2100,2500,2300,28 Jun 2015
107,Kurnool,Alur,Onion,Beelary-Red,Medium,2200,2600,2400,23 Jun 2015
108,Chittor,Chittor(Rythu Bazar),Onion,1st Sort,Large,1800,3000,2000,25 Aug 2015
109,Chittor,Chittor(Rythu Bazar),Onion,2nd Sort,Large,18,22,20,01 May 2015
110,Chittor,Chittor(Rythu Bazar),Onion,Bangalore-Samall,Large,18,22,20,02 Apr 2015
111,Chittor,Chittor(Rythu Bazar),Onion,Bangalore-Samall,Large,1800,3000,2000,07 Aug 2015
112,West Godavari,"Eluru(P.Sri.Mkt),RBZ",Onion,Onion,Medium,20,20,20,16 Apr 2015
113,West Godavari,"Eluru(P.Sri.Mkt),RBZ",Onion,Onion,Medium,20,20,20,27 Apr 2015
114,West Godavari,"Eluru(P.Sri.Mkt),RBZ",Onion,Onion,Medium,24,24,24,29 May 2015
115,West Godavari,"Eluru-II,RBZ",Onion,Onion,Medium,20,20,20,24 Apr 2015
116,West Godavari,"Eluru-II,RBZ",Onion,Onion,Medium,2600,2600,2600,10 Jul 2015
117,West Godavari,"Eluru-II,RBZ",Onion,Onion,Medium,2600,2600,2600,13 Jul 2015
118,West Godavari,Kovvur,Onion,Onion,Medium,1300,1700,1500,17 Apr 2015
119,West Godavari,Kovvur,Onion,Onion,Medium,1300,1700,1500,26 Jan 2015
120,West Godavari,Kovvur,Onion,Onion,Medium,1400,1800,1600,04 Nov 2014
121,West Godavari,Kovvur,Onion,Onion,Medium,1400,1800,1600,20 Apr 2015
122,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,09 Feb 2015
123,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,18 Dec 2014
124,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,23 Dec 2014
125,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,25 May 2015
126,West Godavari,Kovvur,Onion,Onion,Medium,1600,2000,1800,31 May 2015
127,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,01 Jul 2015
128,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,09 Aug 2015
129,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,10 May 2015
130,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,12 Jun 2015
131,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,13 Oct 2014
132,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,17 Jun 2015
133,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,19 Aug 2015
134,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,20 Aug 2015
135,West Godavari,Kovvur,Onion,Onion,Medium,1800,2200,2000,21 Dec 2014
136,West Godavari,Kovvur,Onion,Onion,Medium,1900,2300,2100,22 Jul 2015
137,West Godavari,Kovvur,Onion,Onion,Medium,2000,2400,2200,06 Jul 2015
138,West Godavari,Kovvur,Onion,Onion,Medium,2000,2400,2200,11 Jul 2015
139,West Godavari,Kovvur,Onion,Other,Medium,1400,1800,1600,14 Apr 2015
140,Kurnool,Kurnool,Onion,Local,Medium,600,1455,1215,14 May 2015
141,Kurnool,Kurnool,Onion,Local,Medium,670,1630,1150,19 Sep 2014
142,Kurnool,Kurnool,Onion,Local,Medium,700,1750,1300,31 Dec 2014
143,Kurnool,Kurnool,Onion,Local,Medium,720,1500,1200,29 Dec 2014
144,Kurnool,Kurnool,Onion,Local,Medium,735,1325,1035,25 May 2015
145,Kurnool,Kurnool,Onion,Local,Medium,820,1745,1460,09 Feb 2015
146,Kurnool,Kurnool,Onion,Local,Medium,835,1370,1145,28 Jan 2015
147,Kurnool,Kurnool,Onion,Local,Medium,870,1850,1560,27 Oct 2014
148,Kurnool,Alur,Onion,Beelary-Red,Medium,666,666,666,12 Sep 2014
149,Kurnool,Alur,Onion,Beelary-Red,Medium,800,1200,1000,03 Apr 2015
150,Kurnool,Alur,Onion,Beelary-Red,Medium,820,950,880,10 Dec 2014
151,Kurnool,Alur,Onion,Beelary-Red,Medium,830,1020,980,12 Nov 2014
152,Kurnool,Alur,Onion,Beelary-Red,Medium,850,1050,950,04 Nov 2014
153,Kurnool,Alur,Onion,Beelary-Red,Medium,900,1000,950,22 Oct 2014
154,Kurnool,Alur,Onion,Beelary-Red,Medium,950,1100,1020,15 Dec 2014
155,Kurnool,Alur,Onion,Beelary-Red,Medium,1300,1500,1400,16 Dec 2014
156,Kurnool,Alur,Onion,Beelary-Red,Medium,1300,1550,1440,07 Apr 2015
